tt1,2021-05-26 12:00:00,2021-05-26 12:29:36,37
tt1,2021-05-26 12:30:42,2021-05-26 12:30:42,1
tt1,2021-05-26 12:30:46,2021-05-26 12:30:46,1
tt1,2021-05-26 12:31:00,2021-05-26 12:35:52,17
tt1,2021-05-27 12:32:00,2021-05-27 12:56:13,15
tt1,2021-06-01 10:04:01,2021-06-01 10:04:17,2
tt1,2021-06-01 11:59:02,2021-06-01 11:59:30,2
tt1,2021-06-01 12:01:00,2021-06-01 12:13:23,26
tt1,2021-06-01 12:34:16,2021-06-01 12:34:16,1
tt1,2021-06-08 00:50:00,2021-06-08 00:50:23,3
tt1,2021-06-11 14:43:00,2021-06-11 14:56:34,44
tt1,2021-06-11 15:05:00,2021-06-11 15:07:46,6
tt1,2021-06-15 02:52:02,2021-06-15 02:52:26,2
tt1,2021-06-15 10:36:00,2021-06-15 10:56:49,8
tt1,2021-06-15 11:02:00,2021-06-15 11:14:52,10
tt1,2021-06-17 12:30:29,2021-06-17 12:30:29,1
tt1,2021-06-17 12:31:00,2021-06-17 12:44:03,32
tt1,2021-06-18 14:42:00,2021-06-18 14:57:45,34
tt1,2021-06-22 09:08:00,2021-06-22 09:08:26,3
tt1,2021-06-23 13:42:00,2021-06-23 13:59:31,17
tt1,2021-07-01 08:42:00,2021-07-01 08:42:38,3
tt1,2021-07-01 10:07:00,2021-07-01 10:29:31,73
tt1,2021-07-01 10:30:29,2021-07-01 10:30:29,1
tt1,2021-07-19 07:40:04,2021-07-19 07:40:48,2
tt1,2021-07-21 14:13:00,2021-07-21 14:29:46,27
tt1,2021-07-21 14:30:08,2021-07-21 14:30:08,1
tt1,2021-07-21 14:30:13,2021-07-21 14:30:13,1
tt1,2021-07-21 14:31:02,2021-07-21 14:31:02,1
tt1,2021-07-22 11:14:00,2021-07-22 11:29:54,15
tt1,2021-07-22 11:30:36,2021-07-22 11:30:36,1
tt1,2021-07-22 11:31:00,2021-07-22 11:35:43,8
tt1,2021-07-26 08:56:01,2021-07-26 08:57:55,2
tt1,2021-07-26 09:01:00,2021-07-26 09:25:23,33
tt1,2021-07-28 14:03:00,2021-07-28 14:16:27,51
tt1,2021-07-29 09:28:00,2021-07-29 09:29:59,5
tt1,2021-07-29 09:30:02,2021-07-29 09:30:02,1
tt1,2021-07-29 09:30:19,2021-07-29 09:30:19,1
tt1,2021-07-29 09:30:23,2021-07-29 09:30:23,1
tt1,2021-07-29 09:30:36,2021-07-29 09:30:36,1
tt1,2021-07-29 09:30:39,2021-07-29 09:30:39,1
tt1,2021-07-29 09:30:54,2021-07-29 09:30:54,1
tt1,2021-07-29 09:30:58,2021-07-29 09:30:58,1
